project_id,project_code,project_name,client_name,project_status,start_date,end_date,updated_at
2791,PRJ-002791,Expedite Bricks-And-Clicks Users Program,Mullen-Rodgers,Active,2021-09-09,2022-08-11,2021-10-06 04:06:00
2236,PRJ-002236,Matrix Turn-Key Methodologies Program,Goodwin-Wood,Active,2024-10-08,2026-02-21,2024-11-11 01:37:00
3995,PRJ-003995,Facilitate Customized Networks Program,"Ward, Brown and Nelson",Completed,2019-11-10,,2020-02-08 12:08:00
4348,PRJ-000368,Transition Value-Added Bandwidth Program Refresh,Carter-Dennis,On Hold,2020-12-21,,2021-09-17 17:40:00
2026,PRJ-002026,Re-Contextualize B2B Paradigms Program,Holder-Collins,Planned,2023-10-31,2025-10-10,2023-12-18 13:39:00
2333,PRJ-002333,Repurpose Cutting-Edge Vortals Program,"Cooper, Chapman and Edwards",Active,2023-11-07,,2023-11-14 06:00:00
1228,PRJ-001228,Exploit Bricks-And-Clicks Eyeballs Program,"Bond, Flores and Johnson",Completed,2026-07-26,2028-06-14,2026-11-11 13:24:00
4831,PRJ-002604,Envisioneer Impactful Deliverables Program Refresh,Carey Ltd,Planned,2019-02-15,2020-02-13,2019-08-10 15:21:00
1200,PRJ-001200,Target Wireless E-Commerce Program,"Sutton, Sampson and Gonzales",Active,2019-01-12,2020-01-06,2019-01-14 09:37:00
1551,PRJ-001551,Deliver Dot-Com Interfaces Program,Matthews-Oconnell,Cancelled,2021-07-08,,2021-09-04 11:58:00
3806,PRJ-003806,Deploy Bleeding-Edge Niches Program,Sanchez-Gonzalez,Planned,2023-02-23,2023-07-24,2023-06-09 14:45:00
1126,PRJ-001126,Implement Integrated Eyeballs Program,"Russell, Charles and Robinson",Cancelled,2020-03-22,2021-06-14,2020-04-15 12:25:00
4249,PRJ-004249,Target Scalable Info-Mediaries Program,Duran-Martinez,Active,2024-07-23,2025-02-19,2024-09-16 11:01:00
2275,PRJ-002275,Enable Efficient Technologies Program,Mcfarland-Cherry,On Hold,2026-10-11,2028-09-30,2026-12-09 20:31:00
1608,PRJ-001608,Unleash Ubiquitous Solutions Program,Hawkins Ltd,Planned,2024-08-06,2026-11-15,2024-09-27 17:22:00
4847,PRJ-002690,Evolve Vertical Metrics Program Refresh,Hogan-Evans,Cancelled,2020-01-03,2020-07-20,2020-04-26 00:57:00
1978,PRJ-001978,Synergize Frictionless Roi Program,"Chung, Chung and Farrell",Cancelled,2018-08-11,,2018-09-13 21:08:00
3966,PRJ-003966,Strategize Plug-And-Play Applications Program,Harvey-Benson,Planned,2022-01-25,2023-08-06,2022-03-12 23:14:00
988,PRJ-000988,Evolve Cross-Platform Technologies Program,Gomez-Rogers,Cancelled,2022-04-15,2023-11-19,2022-08-04 10:40:00
4925,PRJ-001399,Strategize Best-Of-Breed Eyeballs Program Refresh,"Smith, Arroyo and Rosario",Planned,2020-01-19,,2020-08-26 11:50:00
4220,PRJ-004220,Innovate 24/7 Technologies Program,"Schmidt, Peck and Arnold",Active,2020-10-24,2022-09-06,2020-12-09 01:21:00
2170,PRJ-002170,Reinvent B2C Markets Program,Anderson-Smith,Completed,2023-07-18,,2023-11-02 08:16:00
579,PRJ-000579,Seize Scalable Interfaces Program,Lee-Valencia,Planned,2020-04-04,,2020-05-08 18:25:00
939,PRJ-000939,Iterate Open-Source Partnerships Program,Brown-Brewer,Completed,2025-10-25,2028-01-27,2026-02-10 10:52:00
3646,PRJ-003646,Enable 24/7 Info-Mediaries Program,Gray Ltd,On Hold,2021-01-24,,2021-04-11 03:27:00
3696,PRJ-003696,Disintermediate Killer Roi Program,Garcia-Jackson,Active,2020-04-20,,2020-08-15 19:44:00
1745,PRJ-001745,Redefine Front-End Web Services Program,"Phillips, Black and Edwards",Active,2025-05-08,2025-12-19,2025-06-10 01:23:00
670,PRJ-000670,Revolutionize Revolutionary Web Services Program,"Vargas, Allen and Lynch",Cancelled,2024-05-30,,2024-06-09 17:11:00
4516,PRJ-002581,Morph Innovative Architectures Program Refresh,Smith LLC,Cancelled,2024-05-15,2025-01-16,2024-09-24 18:39:00
1007,PRJ-001007,Orchestrate Distributed Action-Items Program,Taylor-Nelson,Completed,2018-01-04,2019-06-20,2018-03-06 06:19:00
683,PRJ-000683,Revolutionize Mission-Critical Partnerships Program,Tyler Inc,Active,2026-12-25,,2027-01-20 19:59:00
367,PRJ-000367,Expedite Visionary Roi Program,"Holmes, Miranda and Gardner",On Hold,2021-04-24,2023-05-29,2021-07-13 14:26:00
2901,PRJ-002901,Aggregate Bleeding-Edge Portals Program,Dyer-Camacho,Completed,2023-10-05,,2023-12-17 11:51:00
457,PRJ-000457,Disintermediate Cutting-Edge Applications Program,Peck Ltd,On Hold,2024-03-31,,2024-04-29 12:33:00
4863,PRJ-000846,Generate End-To-End Web Services Program Refresh,"Mann, Garcia and Johnson",Planned,2018-05-29,2019-03-21,2018-11-01 08:57:00
671,PRJ-000671,Engineer 24/7 Synergies Program,Pratt Inc,Cancelled,2021-12-07,,2021-12-16 11:15:00
3518,PRJ-003518,Repurpose Compelling Interfaces Program,"Herrera, Watson and Davis",On Hold,2021-06-27,2023-03-15,2021-08-20 08:59:00
4680,PRJ-000814,Integrate Innovative E-Tailers Program Refresh,Anderson-Chung,Planned,2026-08-29,,2026-12-19 12:26:00
2516,PRJ-002516,Strategize Visionary Metrics Program,"Jackson, Pace and Ortiz",Completed,2026-08-10,,2026-08-12 05:15:00
1422,PRJ-001422,Redefine Sticky Web-Readiness Program,Molina Ltd,Planned,2024-03-18,,2024-06-13 08:17:00
2912,PRJ-002912,Deliver Intuitive Action-Items Program,Powers-Baker,Planned,2019-05-29,,2019-07-05 05:14:00
3777,PRJ-003777,Seize Extensible Paradigms Program,Walton Group,Planned,2023-06-18,2023-12-15,2023-10-10 09:47:00
4340,PRJ-003704,Engage Sticky Bandwidth Program Refresh,"Mejia, Carrillo and Gould",On Hold,2020-01-23,2021-12-10,2020-05-12 03:00:00
1820,PRJ-001820,Engage Dot-Com Content Program,Fisher-Curtis,Completed,2024-04-11,,2024-07-16 05:19:00
3220,PRJ-003220,Facilitate End-To-End Roi Program,"Nelson, Baker and Jackson",Completed,2022-11-17,2023-05-14,2022-12-20 23:16:00
4677,PRJ-001341,Empower Robust Bandwidth Program Refresh,"Cameron, Finley and Wilson",Planned,2018-05-08,2018-08-24,2018-12-23 21:14:00
2074,PRJ-002074,Mesh Back-End Interfaces Program,Shields Ltd,Planned,2022-01-23,2023-11-02,2022-01-26 12:43:00
83,PRJ-000083,Integrate Frictionless Initiatives Program,Watson-Holloway,Completed,2022-10-03,2024-05-09,2022-10-13 09:00:00
2649,PRJ-002649,Visualize B2C E-Tailers Program,Peterson-Steele,Planned,2021-03-10,2023-04-10,2021-03-30 16:03:00
4746,PRJ-001579,Revolutionize Killer Methodologies Program Refresh,Holt-Tran,Planned,2021-10-11,2022-09-25,2022-05-12 14:20:00
4230,PRJ-004230,Orchestrate Synergistic Info-Mediaries Program,"White, Warren and Williams",Cancelled,2018-03-07,2018-06-19,2018-06-28 09:32:00
604,PRJ-000604,Maximize Ubiquitous Partnerships Program,Heath PLC,Planned,2022-06-27,2023-09-28,2022-07-04 06:23:00
1114,PRJ-001114,Evolve Extensible Interfaces Program,Oconnor-Melendez,Planned,2021-03-24,2022-08-10,2021-05-05 20:46:00
4557,PRJ-003009,Cultivate Innovative Technologies Program Refresh,"Stein, Scott and King",Cancelled,2024-03-17,2024-10-07,2024-08-24 15:21:00
272,PRJ-000272,Aggregate Web-Enabled Partnerships Program,Hammond and Sons,Cancelled,2018-01-27,,2018-05-27 17:54:00
1972,PRJ-001972,Maximize Bleeding-Edge Synergies Program,Brown-Davidson,Active,2021-03-01,2022-05-28,2021-03-14 01:29:00
4991,PRJ-002495,Re-Contextualize Global Deliverables Program Refresh,Richardson Ltd,Cancelled,2024-12-16,2027-01-12,2025-07-19 11:42:00
2416,PRJ-002416,Leverage Next-Generation E-Markets Program,"Howard, Gardner and Nelson",Active,2022-10-02,2023-02-18,2023-01-03 18:37:00
1292,PRJ-001292,Facilitate Distributed Methodologies Program,"Rogers, Alvarado and Mata",Planned,2020-11-12,2021-04-11,2021-01-20 16:24:00
1884,PRJ-001884,Syndicate Viral Supply-Chains Program,Campbell-Mitchell,Completed,2024-11-04,2026-11-22,2024-12-13 15:53:00
2982,PRJ-002982,Generate Proactive Architectures Program,Carroll Ltd,Completed,2023-06-19,,2023-06-27 01:45:00
1886,PRJ-001886,Envisioneer Mission-Critical Metrics Program,"Callahan, Nolan and Stevens",On Hold,2020-12-24,2022-05-02,2021-02-06 20:35:00
2691,PRJ-002691,Deliver Global Supply-Chains Program,"Gutierrez, Hicks and Gregory",Completed,2022-03-02,2024-06-26,2022-06-29 22:36:00
3748,PRJ-003748,Syndicate Bleeding-Edge Technologies Program,"Gallagher, Smith and Rivera",Cancelled,2022-06-17,2022-10-15,2022-08-11 23:48:00
2380,PRJ-002380,Transition Compelling E-Commerce Program,Owen-Clark,Planned,2020-08-29,2021-01-23,2020-09-26 20:58:00
1082,PRJ-001082,Morph Front-End Technologies Program,"Evans, Henry and Chandler",Active,2025-06-01,,2025-08-28 11:47:00
811,PRJ-000811,Generate Mission-Critical Schemas Program,Suarez-Dunn,On Hold,2025-09-13,2025-12-18,2026-01-11 04:14:00
4109,PRJ-004109,Deliver Customized Architectures Program,"Frank, Hall and Hines",Cancelled,2018-08-26,2018-12-28,2018-09-28 20:52:00
3967,PRJ-003967,Engage Proactive Content Program,"Cochran, Wood and Williams",Planned,2026-05-26,2027-03-12,2026-07-15 00:13:00
4544,PRJ-004110,Evolve Extensible Networks Program Refresh,Vasquez LLC,Completed,2021-09-24,2023-02-12,2022-01-21 22:19:00
1315,PRJ-001315,Aggregate Value-Added Infrastructures Program,Contreras Group,Active,2018-05-25,2018-09-06,2018-06-26 18:57:00
4437,PRJ-004164,Reinvent Collaborative Portals Program Refresh,"Morrison, Fisher and Johnson",Completed,2019-02-14,2020-04-09,2019-06-12 16:05:00
1174,PRJ-001174,Incentivize Impactful Functionalities Program,Garcia-Ramirez,Planned,2021-01-10,2021-08-13,2021-04-07 07:10:00
1328,PRJ-001328,Evolve Clicks-And-Mortar Convergence Program,Robinson and Sons,On Hold,2018-02-26,2019-07-15,2018-03-22 08:42:00
65,PRJ-000065,Synthesize Seamless Networks Program,Thomas-Kerr,On Hold,2021-10-05,2022-10-22,2022-01-25 01:25:00
3360,PRJ-003360,Aggregate Impactful Architectures Program,"Jones, Garrett and Gonzalez",Active,2018-09-22,,2018-09-29 16:24:00
1186,PRJ-001186,E-Enable Next-Generation Models Program,Goodwin Ltd,Cancelled,2024-09-30,2026-10-31,2025-01-01 07:20:00
2115,PRJ-002115,Target 24/7 Models Program,Irwin-Mcmillan,Completed,2022-08-02,,2022-11-16 10:30:00
4103,PRJ-004103,E-Enable Front-End Info-Mediaries Program,Parker-Carney,Planned,2019-10-26,2020-12-07,2019-10-28 17:36:00
2381,PRJ-002381,Generate Open-Source Systems Program,"Harvey, Powell and Nixon",Cancelled,2023-11-24,2024-04-23,2024-01-07 07:56:00
1143,PRJ-001143,Enhance Distributed Relationships Program,"Anderson, Perez and Kaiser",Active,2021-03-25,2023-07-02,2021-05-02 16:40:00
2542,PRJ-002542,Embrace Holistic Communities Program,"Whitehead, Campbell and Lucas",On Hold,2024-07-22,,2024-11-19 12:43:00
1306,PRJ-001306,Leverage Dot-Com Channels Program,Peterson-Wagner,Planned,2026-04-29,,2026-08-24 14:31:00
2653,PRJ-002653,Seize Distributed Relationships Program,White Ltd,Completed,2020-02-20,2020-08-06,2020-03-10 10:42:00
990,PRJ-000990,Scale Proactive Metrics Program,Thomas-Beck,On Hold,2024-01-07,2025-01-31,2024-02-08 14:38:00
3096,PRJ-003096,Utilize Distributed Niches Program,Allen and Sons,Planned,2021-02-26,2022-11-02,2021-06-16 03:09:00
4140,PRJ-004140,Re-Intermediate Interactive Eyeballs Program,Brown-Santiago,Active,2025-10-08,2027-12-30,2025-12-17 14:38:00
1928,PRJ-001928,Utilize Scalable Eyeballs Program,Smith-Tucker,Active,2024-02-08,,2024-03-25 11:01:00
1183,PRJ-001183,Exploit Front-End Web-Readiness Program,Wheeler Inc,Cancelled,2022-11-08,,2023-02-21 20:07:00
2673,PRJ-002673,Engage World-Class Bandwidth Program,Snow-Williams,Active,2023-05-17,2024-08-30,2023-07-05 16:14:00
230,PRJ-000230,Morph Compelling Supply-Chains Program,"English, Maldonado and Ramsey",On Hold,2018-10-04,,2018-11-30 13:23:00
2394,PRJ-002394,Transition Magnetic Architectures Program,Thompson LLC,Cancelled,2020-10-22,,2020-11-24 12:22:00
2774,PRJ-002774,Mesh Customized Action-Items Program,"Rios, Jones and Finley",Cancelled,2020-05-28,,2020-09-08 18:50:00
2092,PRJ-002092,Integrate World-Class Communities Program,Randall and Sons,On Hold,2023-01-22,2025-01-12,2023-02-04 05:51:00
2329,PRJ-002329,Streamline Plug-And-Play Web Services Program,Taylor-Nichols,On Hold,2018-08-16,2019-04-05,2018-09-10 07:21:00
4762,PRJ-000802,Strategize Dot-Com Paradigms Program Refresh,"Ellis, Wilkerson and Livingston",Planned,2018-05-23,2019-05-09,2019-03-15 01:40:00
2698,PRJ-002698,Seize End-To-End Info-Mediaries Program,Marshall Inc,Active,2022-11-22,2023-09-07,2022-11-27 10:29:00
4922,PRJ-002513,Implement Bricks-And-Clicks Action-Items Program Refresh,Lawson-Mathews,On Hold,2025-03-15,2026-05-31,2025-05-17 07:43:00
1751,PRJ-001751,Brand Interactive Infrastructures Program,"Graham, Nguyen and Hansen",Active,2022-10-19,,2023-01-21 23:02:00
1853,PRJ-001853,Re-Intermediate Web-Enabled E-Tailers Program,Welch LLC,Cancelled,2020-10-19,2021-01-29,2021-01-22 07:47:00
1785,PRJ-001785,Streamline Back-End Platforms Program,"Cole, Morgan and Flowers",Completed,2018-07-13,2019-04-15,2018-10-05 02:45:00
4327,PRJ-001806,Mesh User-Centric Applications Program Refresh,Wright Inc,Completed,2026-07-17,2027-11-26,2026-10-17 08:20:00
3963,PRJ-003963,Productize Cross-Platform Supply-Chains Program,Bennett-Fitzgerald,On Hold,2024-01-27,2025-05-04,2024-01-27 08:14:00
1727,PRJ-001727,Implement Cross-Platform Systems Program,Craig-Henry,Planned,2020-07-15,2021-10-27,2020-09-25 01:22:00
723,PRJ-000723,E-Enable Scalable Eyeballs Program,Hays LLC,Planned,2018-03-30,2019-08-21,2018-06-15 03:36:00
2208,PRJ-002208,Empower Plug-And-Play Experiences Program,Gonzalez-Davis,Cancelled,2025-04-11,,2025-07-20 21:12:00
4775,PRJ-002762,Synthesize Front-End Systems Program Refresh,Gonzalez Group,On Hold,2021-10-08,,2022-05-04 01:05:00
2251,PRJ-002251,Morph Mission-Critical Communities Program,Perez-Adams,Planned,2019-10-18,2021-05-06,2019-11-10 18:18:00
2704,PRJ-002704,Integrate Synergistic Users Program,Boyer LLC,Planned,2019-10-31,2020-12-03,2020-02-20 00:02:00
127,PRJ-000127,Facilitate Clicks-And-Mortar Experiences Program,"Cunningham, Johnson and Woods",On Hold,2021-12-02,2023-12-21,2021-12-12 05:50:00
2448,PRJ-002448,Revolutionize Real-Time Solutions Program,Moore-Hernandez,Active,2024-04-02,2026-02-12,2024-04-29 16:52:00
3036,PRJ-003036,Extend Ubiquitous Deliverables Program,"Hart, Simon and Carrillo",Cancelled,2025-09-10,2027-06-21,2025-11-05 03:22:00
3313,PRJ-003313,Engineer Strategic Solutions Program,Meyer PLC,Completed,2026-10-25,2027-08-24,2026-11-11 23:32:00
235,PRJ-000235,Implement Robust Platforms Program,Brown-Lang,Planned,2026-02-01,2026-06-11,2026-03-13 18:22:00
2045,PRJ-002045,Deliver Front-End Deliverables Program,Norman Inc,On Hold,2018-04-23,2018-06-16,2018-06-12 23:42:00
2024,PRJ-002024,Cultivate Synergistic Vortals Program,Atkinson-Brewer,Completed,2018-12-22,2019-07-06,2019-01-29 20:50:00
783,PRJ-000783,Facilitate One-To-One Content Program,Ramos-Fisher,Active,2023-02-20,2024-06-09,2023-03-04 02:06:00
1803,PRJ-001803,Strategize Interactive Architectures Program,Larsen Inc,Cancelled,2025-05-13,,2025-06-05 21:45:00
3479,PRJ-003479,Transform Collaborative Initiatives Program,"French, Phillips and Luna",Active,2022-01-30,2024-05-24,2022-04-21 03:19:00
382,PRJ-000382,Whiteboard Dot-Com Interfaces Program,Lawrence-Mccoy,On Hold,2023-06-05,2025-10-20,2023-10-03 04:51:00
4077,PRJ-004077,Architect B2B Channels Program,Anderson Group,On Hold,2023-01-26,,2023-01-26 14:57:00
2690,PRJ-002690,Evolve Vertical Metrics Program,Hogan-Evans,Cancelled,2020-01-03,2020-07-20,2020-02-28 17:57:00
4816,PRJ-001973,Envisioneer Out-Of-The-Box Action-Items Program Refresh,"Wagner, Townsend and Silva",On Hold,2023-09-25,,2024-04-29 20:15:00
4843,PRJ-001503,Monetize Scalable Technologies Program Refresh,Schroeder PLC,Planned,2024-05-08,,2024-12-24 03:10:00
4388,PRJ-001482,Unleash User-Centric Experiences Program Refresh,Wilson Group,Completed,2022-12-28,,2023-07-17 03:42:00
3254,PRJ-003254,Whiteboard Collaborative Communities Program,Jefferson Group,Planned,2020-09-06,2022-05-30,2020-09-15 21:17:00
4019,PRJ-004019,Seize Vertical Experiences Program,Evans-White,Completed,2021-08-23,,2021-10-30 17:34:00
4120,PRJ-004120,Exploit Frictionless Platforms Program,"Patel, Young and Roberson",Cancelled,2025-05-13,,2025-07-26 16:39:00
1759,PRJ-001759,Repurpose Mission-Critical Methodologies Program,Brown LLC,Completed,2019-11-28,2020-08-12,2020-02-28 02:07:00
2015,PRJ-002015,Unleash Leading-Edge Portals Program,Stevens Ltd,Cancelled,2023-06-03,2025-09-20,2023-06-28 15:40:00
170,PRJ-000170,Facilitate Interactive Markets Program,"Richards, Parker and Martinez",Active,2025-08-09,,2025-08-12 08:44:00
3548,PRJ-003548,Unleash Holistic Methodologies Program,"Anderson, Miller and Scott",Planned,2025-08-26,2027-03-08,2025-10-20 08:53:00
3390,PRJ-003390,Harness Innovative Synergies Program,Young-Martinez,Completed,2024-05-18,,2024-06-24 23:58:00
3872,PRJ-003872,Envisioneer Magnetic Web Services Program,"Hines, Johnson and Cantu",Cancelled,2022-10-20,,2023-02-10 09:48:00
180,PRJ-000180,Expedite Synergistic E-Tailers Program,Vincent PLC,Cancelled,2020-09-09,2022-02-13,2020-12-28 15:12:00
504,PRJ-000504,Whiteboard Seamless E-Commerce Program,Hughes Ltd,Active,2020-08-02,2022-10-21,2020-08-20 03:34:00
4303,PRJ-003964,Productize Innovative Solutions Program Refresh,"Hernandez, Hill and Kim",Active,2018-10-17,,2019-04-01 01:53:00
1823,PRJ-001823,Enhance Robust Info-Mediaries Program,Rogers Ltd,On Hold,2022-03-31,2023-12-08,2022-04-21 05:46:00
205,PRJ-000205,Re-Intermediate 24/365 Users Program,Phillips-Gallagher,On Hold,2024-02-16,2024-09-30,2024-05-29 23:03:00
2326,PRJ-002326,Optimize Magnetic E-Markets Program,"Espinoza, Carter and Morgan",On Hold,2019-04-12,2020-05-12,2019-07-29 17:00:00
1052,PRJ-001052,Embrace Plug-And-Play Schemas Program,Carr-Lucas,On Hold,2020-09-12,2023-01-08,2020-11-12 22:55:00
1670,PRJ-001670,Implement Turn-Key Content Program,Stuart-Wong,Planned,2025-01-17,,2025-03-19 10:12:00
4163,PRJ-004163,Re-Contextualize Sticky Users Program,"Hester, Rowe and Cummings",Planned,2025-11-14,2026-07-02,2026-03-06 09:55:00
559,PRJ-000559,Empower B2B Channels Program,"Schmidt, Pollard and Higgins",Completed,2021-07-11,2023-01-12,2021-08-22 06:47:00
3863,PRJ-003863,Integrate Robust Action-Items Program,"Woodard, Powell and Clay",Completed,2026-10-18,2028-05-12,2027-01-10 02:58:00
1144,PRJ-001144,Re-Contextualize Viral Paradigms Program,Herrera and Sons,On Hold,2019-08-10,2019-11-21,2019-11-25 23:48:00
1746,PRJ-001746,Integrate Intuitive Content Program,Moreno Ltd,Completed,2024-07-31,2026-12-15,2024-11-03 17:39:00
4009,PRJ-004009,Target Compelling Networks Program,"Washington, Weeks and Simmons",Planned,2022-08-30,2024-08-04,2022-10-12 13:24:00
1960,PRJ-001960,Transform One-To-One Action-Items Program,King-White,Planned,2021-05-17,2022-08-02,2021-09-14 01:19:00
1643,PRJ-001643,Unleash Distributed Systems Program,Mcdaniel-Parker,Cancelled,2020-05-10,,2020-08-18 04:12:00
2335,PRJ-002335,Iterate Sticky Vortals Program,Yang PLC,Planned,2026-09-03,,2026-09-27 23:47:00
4519,PRJ-001366,Redefine One-To-One Deliverables Program Refresh,"Ochoa, Wise and Allen",Active,2025-09-03,2027-01-10,2026-05-15 13:10:00
1116,PRJ-001116,Implement Back-End Systems Program,Burns Inc,Completed,2024-10-15,,2024-11-02 23:42:00
3201,PRJ-003201,Deploy Visionary Methodologies Program,Knapp PLC,Planned,2022-03-01,2023-08-14,2022-06-06 08:23:00
1024,PRJ-001024,Empower Killer E-Markets Program,Morgan LLC,Completed,2024-10-14,2025-04-01,2024-10-25 14:23:00
4373,PRJ-001830,Enhance Killer Info-Mediaries Program Refresh,Scott-Sanchez,On Hold,2019-09-06,,2020-02-23 17:46:00
3066,PRJ-003066,Productize Bleeding-Edge E-Business Program,Campbell PLC,Planned,2023-03-21,2024-02-07,2023-06-11 20:31:00
2615,PRJ-002615,Streamline Visionary Models Program,"Gonzales, Bryant and Lee",On Hold,2025-11-05,2028-02-08,2026-01-25 11:54:00
4567,PRJ-004076,Visualize Dot-Com Markets Program Refresh,Hill Inc,Planned,2019-12-08,2020-12-30,2020-08-14 01:43:00
4380,PRJ-000046,Syndicate Scalable Partnerships Program Refresh,Reyes-Martin,Planned,2025-11-15,2026-01-03,2026-03-07 20:19:00
68,PRJ-000068,Engage Rich Convergence Program,"Finley, Smith and Moore",Cancelled,2021-02-13,2023-04-18,2021-05-22 09:36:00
