position_history_id,employee_id,effective_start_date,effective_end_date,job_title,cost_centre,fte,updated_at
66,26,2025-07-03,2026-02-28,Lead Engineer,CC-120-ENG,0.64,2026-03-18 21:13:00
67,26,2026-02-13,2026-02-28,Project Coordinator,CC-100-FIN,0.61,2026-03-16 09:45:00
68,27,2021-10-31,2023-01-03,Director,CC-160-MKT,0.31,2023-01-22 02:58:00
69,27,2023-01-04,2023-12-18,Lead Engineer,CC-160-MKT,0.55,2024-01-15 11:23:00
70,27,2023-12-19,2024-05-18,Lead Engineer,CC-130-PMO,0.41,2024-05-18 21:08:00
71,28,2023-03-06,2024-06-28,Senior Engineer,CC-120-ENG,0.23,2024-07-22 12:27:00
72,28,2024-09-12,2025-01-30,Project Manager,CC-160-MKT,0.91,2025-02-17 23:26:00
73,28,2024-09-12,2025-01-30,Lead Engineer,CC-160-MKT,0.48,2025-02-18 02:26:00
74,28,2025-02-07,2025-11-30,Engineer,CC-150-SALES,0.64,2025-12-09 15:57:00
75,28,2025-12-01,2026-02-28,Senior Analyst,CC-150-SALES,0.68,2026-03-28 11:20:00
76,29,2019-04-04,2021-01-20,Engineer,CC-160-MKT,0.22,2021-02-10 05:48:00
77,29,2021-01-21,2021-06-03,Engineer,CC-140-OPS,0.62,2021-06-06 04:45:00
78,29,2021-06-04,2022-01-01,Senior Manager,CC-150-SALES,0.61,2022-01-30 08:38:00
79,29,2022-01-02,,Analyst,CC-160-MKT,0.67,2022-01-24 03:53:00
80,30,2022-09-19,2023-08-05,Engineer,CC-150-SALES,1.0,2023-09-04 09:03:00
81,30,2023-08-06,2025-05-12,Senior Engineer,CC-110-HR,0.21,2025-05-14 19:27:00
82,30,2025-05-13,2026-02-28,Senior Analyst,CC-140-OPS,0.27,2026-03-03 14:10:00
83,31,2018-08-21,,Analyst,CC-140-OPS,0.58,2018-09-15 03:01:00
84,32,2015-08-18,,Senior Analyst,CC-130-PMO,0.84,2015-09-04 10:13:00
85,33,2024-01-11,2025-11-21,Manager,CC-150-SALES,0.85,2025-11-29 17:40:00
86,33,2025-11-22,2026-02-28,Senior Analyst,CC-160-MKT,0.48,2026-03-07 12:24:00
87,34,2015-09-29,2016-09-16,Senior Engineer,CC-150-SALES,0.52,2016-09-28 08:58:00
88,34,2016-09-17,2017-10-26,Manager,CC-160-MKT,0.58,2017-11-04 03:06:00
89,34,2017-10-27,,Analyst,CC-130-PMO,0.99,2017-11-05 11:55:00
90,35,2024-10-29,2026-02-28,Analyst,CC-120-ENG,0.64,2026-03-17 14:23:00
91,36,2022-05-08,2023-11-14,Project Manager,CC-160-MKT,0.72,2023-11-19 16:18:00
92,36,2023-11-15,,Project Manager,CC-100-FIN,0.94,2023-11-26 21:18:00
93,37,2020-02-23,2020-07-14,Lead Engineer,CC-160-MKT,0.73,2020-08-01 13:21:00
94,37,2020-07-15,2021-12-09,Senior Analyst,CC-140-OPS,0.22,2021-12-11 06:00:00
95,37,2021-12-10,2023-11-01,Senior Engineer,CC-110-HR,0.22,2023-11-15 00:30:00
96,38,2017-10-07,2018-04-19,Senior Analyst,CC-150-SALES,0.36,2018-04-27 10:48:00
97,38,2018-04-20,2019-11-11,Director,CC-150-SALES,0.27,2019-11-19 16:03:00
98,38,2019-11-12,,Engineer,CC-130-PMO,0.81,2019-12-09 09:20:00
99,39,2017-12-12,2019-07-09,Lead Engineer,CC-100-FIN,0.88,2019-07-27 08:21:00
100,39,2019-10-03,2020-10-31,Director,CC-120-ENG,0.23,2020-11-04 10:46:00
101,39,2020-11-01,,Senior Engineer,CC-160-MKT,0.59,2020-11-05 05:56:00
102,40,2025-01-25,2026-02-28,Senior Analyst,CC-100-FIN,0.44,2026-03-03 13:03:00
103,41,2017-06-17,2018-07-10,Lead Engineer,CC-130-PMO,0.21,2018-07-13 23:47:00
104,41,2018-07-11,2019-11-25,Lead Engineer,CC-130-PMO,0.76,2019-12-16 00:23:00
105,41,2019-11-26,2021-03-14,Senior Manager,CC-130-PMO,0.83,2021-04-08 07:42:00
106,41,2021-03-15,,Lead Engineer,CC-130-PMO,0.69,2021-03-31 16:33:00
107,41,2021-03-15,,Engineer,CC-130-PMO,0.26,2021-04-01 00:33:00
108,42,2020-09-18,,Senior Manager,CC-100-FIN,0.63,2020-09-27 10:07:00
109,43,2015-07-12,2016-08-18,Senior Analyst,CC-150-SALES,0.4,2016-09-13 15:16:00
110,43,2016-09-28,,Lead Engineer,CC-150-SALES,0.58,2016-10-13 10:47:00
111,44,2022-01-14,2023-09-22,Project Manager,CC-130-PMO,0.45,2023-10-13 18:49:00
112,44,2022-01-14,2023-09-22,Project Coordinator,CC-130-PMO,0.2,2023-10-14 02:49:00
113,44,2023-09-23,2025-01-19,Senior Analyst,CC-100-FIN,0.27,2025-01-28 00:49:00
114,45,2019-09-26,2021-02-26,Senior Analyst,CC-130-PMO,0.27,2021-02-27 19:42:00
115,45,2021-04-14,2022-01-08,Director,CC-120-ENG,0.88,2022-02-01 08:08:00
116,45,2022-01-09,2023-02-06,Project Coordinator,CC-110-HR,0.32,2023-02-16 21:24:00
117,45,2023-02-07,,Analyst,CC-100-FIN,0.72,2023-03-02 13:21:00
118,46,2019-04-13,2020-11-17,Senior Analyst,CC-150-SALES,0.39,2020-12-12 06:05:00
119,47,2020-12-07,2021-10-26,Project Manager,CC-160-MKT,0.48,2021-11-10 19:19:00
120,47,2021-10-27,2022-08-01,Project Coordinator,CC-130-PMO,0.74,2022-08-26 15:59:00
121,47,2022-08-02,,Project Coordinator,CC-100-FIN,0.22,2022-08-17 18:47:00
122,48,2024-08-26,2026-02-28,Project Coordinator,CC-140-OPS,0.57,2026-03-29 17:44:00
123,49,2023-01-31,2024-10-28,Engineer,CC-120-ENG,0.54,2024-11-22 10:56:00
124,50,2022-03-10,2022-07-12,Lead Engineer,CC-160-MKT,0.83,2022-08-04 20:06:00
125,50,2022-06-08,2022-11-18,Analyst,CC-120-ENG,0.4,2022-12-10 23:24:00
126,50,2022-11-19,2024-05-13,Manager,CC-110-HR,0.81,2024-06-11 23:23:00
127,50,2024-05-14,2026-02-28,Senior Engineer,CC-150-SALES,0.71,2026-03-26 08:28:00
128,51,2019-11-16,2021-04-16,Senior Engineer,CC-100-FIN,0.4,2021-05-04 12:49:00
129,51,2021-05-15,2022-03-09,Analyst,CC-110-HR,0.98,2022-03-24 06:51:00
130,52,2025-09-11,2026-02-02,Project Coordinator,CC-120-ENG,0.52,2026-02-28 10:21:00
131,53,2017-12-14,2018-09-03,Senior Engineer,CC-120-ENG,0.8,2018-09-18 17:17:00
132,53,2018-11-29,2020-07-15,Project Coordinator,CC-150-SALES,0.98,2020-08-05 02:41:00
133,53,2020-06-08,,Senior Analyst,CC-100-FIN,0.74,2020-07-03 04:23:00
134,54,2017-01-01,2017-11-27,Engineer,CC-140-OPS,0.43,2017-12-27 16:59:00
135,54,2018-01-28,,Senior Manager,CC-120-ENG,0.71,2018-02-17 13:02:00
136,55,2024-10-05,2025-04-20,Manager,CC-120-ENG,0.7,2025-05-11 11:46:00
137,55,2025-04-21,2026-02-28,Senior Manager,CC-130-PMO,0.46,2026-03-28 01:56:00
138,56,2022-03-02,2023-07-19,Senior Manager,CC-150-SALES,0.81,2023-08-15 18:12:00
139,56,2023-07-20,,Lead Engineer,CC-110-HR,0.65,2023-08-12 18:48:00
140,57,2016-09-18,2017-03-18,Senior Engineer,CC-130-PMO,0.28,2017-04-13 07:03:00
141,57,2017-03-19,2018-04-25,Senior Manager,CC-140-OPS,0.72,2018-05-17 00:24:00
142,58,2021-01-18,2022-10-08,Project Coordinator,CC-110-HR,0.31,2022-10-19 04:57:00
143,58,2022-10-09,,Senior Engineer,CC-120-ENG,0.62,2022-10-12 14:08:00
144,59,2025-04-20,2025-10-09,Project Coordinator,CC-150-SALES,0.9,2025-10-30 03:57:00
145,60,2015-03-21,2015-11-09,Project Coordinator,CC-130-PMO,0.92,2015-11-28 01:03:00
146,60,2015-12-14,2016-12-06,Project Coordinator,CC-100-FIN,0.93,2016-12-26 01:10:00
147,61,2024-01-18,2024-11-13,Lead Engineer,CC-150-SALES,0.9,2024-11-18 02:14:00
148,61,2024-11-14,,Senior Analyst,CC-140-OPS,0.68,2024-12-07 20:23:00
149,61,2024-11-14,,Director,CC-140-OPS,0.32,2024-12-08 00:23:00
150,62,2017-09-13,2019-07-14,Senior Engineer,CC-140-OPS,0.62,2019-08-05 21:15:00
151,62,2019-06-15,2020-09-18,Lead Engineer,CC-160-MKT,0.21,2020-10-01 08:21:00
152,62,2020-09-19,2022-07-28,Analyst,CC-150-SALES,0.93,2022-08-19 16:38:00
153,62,2022-07-29,2024-01-24,Lead Engineer,CC-150-SALES,0.68,2024-02-12 07:24:00
154,63,2015-12-17,2016-12-11,Project Coordinator,CC-150-SALES,0.58,2017-01-02 22:49:00
155,63,2017-01-02,2018-06-22,Director,CC-160-MKT,0.67,2018-07-09 20:06:00
156,64,2015-10-11,2017-08-27,Director,CC-160-MKT,0.84,2017-09-26 17:29:00
157,64,2017-08-28,2018-09-24,Director,CC-130-PMO,0.58,2018-10-08 09:07:00
158,64,2018-09-25,,Senior Analyst,CC-110-HR,0.72,2018-09-27 19:54:00
159,65,2023-08-03,2025-03-26,Manager,CC-120-ENG,0.84,2025-03-31 12:37:00
160,65,2025-03-27,2026-02-28,Senior Engineer,CC-120-ENG,0.83,2026-03-24 07:54:00
161,66,2020-04-30,2021-06-20,Senior Engineer,CC-120-ENG,0.41,2021-06-21 22:16:00
162,66,2021-08-21,2023-02-20,Lead Engineer,CC-100-FIN,0.4,2023-02-24 08:24:00
163,66,2023-02-05,2024-07-17,Director,CC-110-HR,0.36,2024-07-25 14:50:00
164,66,2024-07-18,2025-05-25,Engineer,CC-100-FIN,0.74,2025-06-09 19:28:00
165,67,2017-12-21,2019-08-26,Senior Manager,CC-130-PMO,0.48,2019-09-16 03:37:00
166,67,2019-08-27,,Director,CC-140-OPS,0.55,2019-09-08 07:40:00
167,68,2019-09-30,2020-04-21,Senior Engineer,CC-110-HR,0.58,2020-04-29 21:55:00
168,68,2020-04-22,,Senior Engineer,CC-150-SALES,0.85,2020-05-19 11:58:00
169,69,2023-06-21,2024-02-13,Senior Manager,CC-160-MKT,0.66,2024-02-23 09:22:00
170,69,2024-02-14,,Engineer,CC-160-MKT,0.65,2024-02-17 00:07:00
171,70,2022-12-30,2024-07-05,Analyst,CC-100-FIN,0.89,2024-07-20 07:30:00
172,70,2024-07-06,2026-02-28,Senior Analyst,CC-160-MKT,0.28,2026-03-14 07:33:00
173,71,2022-04-15,2023-09-22,Analyst,CC-100-FIN,0.34,2023-09-28 09:19:00
174,71,2023-09-23,2024-04-19,Senior Analyst,CC-120-ENG,0.54,2024-05-13 02:57:00
175,71,2024-04-20,2025-09-20,Lead Engineer,CC-140-OPS,0.37,2025-09-28 10:59:00
176,71,2025-09-21,,Engineer,CC-140-OPS,0.99,2025-09-24 00:01:00
177,72,2020-01-24,2021-03-04,Senior Engineer,CC-150-SALES,0.63,2021-03-19 10:39:00
178,72,2021-03-05,,Lead Engineer,CC-140-OPS,0.83,2021-03-20 05:13:00
179,73,2015-09-20,2016-10-29,Lead Engineer,CC-100-FIN,0.75,2016-11-21 09:52:00
180,73,2016-12-28,2018-07-31,Manager,CC-120-ENG,0.81,2018-08-17 12:02:00
181,73,2018-07-23,,Senior Engineer,CC-110-HR,0.9,2018-08-04 21:00:00
182,74,2021-03-18,2022-12-25,Senior Analyst,CC-130-PMO,0.43,2023-01-24 09:17:00
183,74,2022-12-26,2024-03-27,Director,CC-150-SALES,0.74,2024-04-24 04:53:00
184,74,2024-03-28,2025-10-31,Senior Manager,CC-120-ENG,0.75,2025-11-14 13:45:00
185,74,2025-11-01,2026-02-28,Project Coordinator,CC-110-HR,0.83,2026-03-30 02:41:00
186,74,2025-11-01,2026-02-28,Engineer,CC-110-HR,0.68,2026-03-30 03:41:00
187,75,2015-01-30,2016-10-27,Project Manager,CC-160-MKT,0.26,2016-11-03 07:24:00
188,75,2016-10-28,2018-06-02,Project Coordinator,CC-150-SALES,0.37,2018-06-02 20:52:00
189,75,2018-06-03,2019-02-24,Senior Engineer,CC-150-SALES,0.93,2019-03-19 10:57:00
190,75,2019-02-25,2020-06-20,Manager,CC-120-ENG,0.87,2020-07-14 19:09:00
191,76,2017-07-26,2018-03-01,Senior Engineer,CC-150-SALES,0.22,2018-03-14 06:21:00
192,77,2018-09-15,2019-05-14,Analyst,CC-110-HR,0.58,2019-06-05 07:41:00
193,77,2019-05-15,2020-04-20,Senior Manager,CC-120-ENG,0.24,2020-05-14 07:47:00
194,77,2020-04-21,2021-04-19,Manager,CC-110-HR,0.89,2021-04-30 14:45:00
195,77,2021-04-20,2021-08-14,Senior Manager,CC-130-PMO,0.62,2021-09-11 06:27:00
196,78,2022-07-03,2023-04-17,Lead Engineer,CC-140-OPS,0.38,2023-04-27 18:30:00
197,78,2023-04-18,2024-05-08,Senior Engineer,CC-120-ENG,0.53,2024-05-20 18:35:00
198,78,2024-05-09,2025-10-28,Senior Analyst,CC-130-PMO,0.65,2025-11-11 16:14:00
199,78,2025-10-29,,Project Manager,CC-110-HR,0.71,2025-11-26 22:58:00
200,79,2016-06-25,2017-11-23,Senior Manager,CC-130-PMO,0.31,2017-11-23 23:22:00
201,79,2018-01-07,2018-09-23,Lead Engineer,CC-110-HR,0.22,2018-09-28 07:36:00
202,79,2018-08-23,,Lead Engineer,CC-110-HR,0.93,2018-09-18 14:44:00
203,80,2021-06-18,2022-09-18,Project Manager,CC-130-PMO,0.23,2022-10-04 23:02:00
204,80,2022-09-19,2024-05-09,Senior Manager,CC-120-ENG,0.31,2024-05-25 05:17:00
205,80,2024-05-10,2025-08-09,Director,CC-130-PMO,0.48,2025-08-14 01:42:00
206,80,2025-08-10,,Project Coordinator,CC-140-OPS,0.53,2025-08-21 20:13:00
207,81,2020-04-21,,Engineer,CC-140-OPS,0.39,2020-05-09 10:00:00
208,82,2016-01-22,2016-11-19,Senior Analyst,CC-120-ENG,0.33,2016-12-07 13:47:00
209,82,2016-11-20,2018-04-19,Lead Engineer,CC-140-OPS,0.5,2018-05-08 05:14:00
210,83,2019-10-01,2020-05-02,Project Coordinator,CC-110-HR,0.5,2020-05-31 10:23:00
211,83,2020-06-07,,Manager,CC-100-FIN,0.51,2020-06-17 22:36:00
212,84,2023-03-06,2024-12-26,Director,CC-150-SALES,0.72,2025-01-23 23:13:00
213,84,2024-12-27,2025-04-03,Director,CC-140-OPS,0.26,2025-04-12 18:35:00
214,85,2016-02-08,2017-06-03,Senior Manager,CC-150-SALES,0.74,2017-06-23 01:46:00
215,85,2017-06-04,2018-07-07,Analyst,CC-140-OPS,0.32,2018-07-09 20:36:00
216,85,2017-06-04,2018-07-07,Senior Manager,CC-140-OPS,1.0,2018-07-10 01:36:00
217,86,2023-12-24,2024-07-06,Director,CC-100-FIN,0.33,2024-07-21 07:05:00
218,86,2024-09-18,2026-02-28,Project Manager,CC-130-PMO,0.65,2026-03-18 23:57:00
219,86,2024-09-18,2026-02-28,Engineer,CC-130-PMO,0.24,2026-03-19 00:57:00
220,87,2017-02-23,2019-01-24,Project Manager,CC-130-PMO,0.63,2019-02-13 20:05:00
221,87,2019-01-25,2019-12-26,Project Manager,CC-110-HR,0.6,2019-12-28 22:26:00
222,87,2019-12-27,2020-08-05,Senior Engineer,CC-140-OPS,0.98,2020-08-14 20:22:00
223,87,2020-08-06,2022-07-25,Director,CC-140-OPS,1.0,2022-08-06 01:55:00
224,87,2022-07-26,,Project Manager,CC-160-MKT,0.55,2022-08-22 23:34:00
225,88,2016-07-28,2017-05-04,Analyst,CC-140-OPS,0.55,2017-05-18 17:22:00
226,88,2017-05-05,2018-03-02,Engineer,CC-100-FIN,0.94,2018-03-06 09:09:00
227,89,2020-03-09,2021-04-25,Senior Engineer,CC-100-FIN,0.35,2021-05-04 21:36:00
228,89,2021-05-12,,Project Coordinator,CC-130-PMO,0.28,2021-05-17 15:38:00
229,90,2019-12-21,2021-10-07,Senior Analyst,CC-120-ENG,0.35,2021-11-02 13:25:00
230,90,2021-10-31,2022-08-13,Engineer,CC-120-ENG,0.45,2022-08-31 05:30:00
231,90,2022-07-03,2024-01-13,Project Manager,CC-150-SALES,0.64,2024-02-06 22:05:00
232,91,2021-03-04,2022-12-02,Engineer,CC-120-ENG,0.87,2022-12-12 04:43:00
233,91,2021-03-04,2022-12-02,Manager,CC-120-ENG,0.81,2022-12-12 10:43:00
234,91,2022-11-08,2023-05-09,Senior Analyst,CC-150-SALES,0.43,2023-06-06 21:19:00
235,91,2023-05-10,2024-09-29,Project Manager,CC-100-FIN,0.77,2024-10-01 00:03:00
236,91,2024-09-30,2025-01-27,Project Manager,CC-100-FIN,0.69,2025-01-30 19:41:00
237,92,2024-05-17,2024-11-18,Director,CC-130-PMO,0.64,2024-11-24 15:54:00
238,93,2024-07-08,2025-07-24,Project Manager,CC-120-ENG,0.23,2025-08-22 22:36:00
239,93,2025-10-04,,Manager,CC-110-HR,0.49,2025-10-14 22:09:00
240,94,2020-06-12,2022-02-12,Senior Manager,CC-140-OPS,0.88,2022-02-27 17:41:00
241,95,2019-07-01,2020-01-03,Project Coordinator,CC-110-HR,0.68,2020-02-02 01:17:00
242,95,2020-01-04,,Analyst,CC-130-PMO,0.54,2020-02-02 13:07:00
243,96,2019-04-02,2020-09-10,Project Manager,CC-160-MKT,0.45,2020-09-21 17:30:00
244,96,2020-11-18,2022-11-07,Manager,CC-110-HR,0.92,2022-11-19 20:17:00
245,97,2025-05-23,2026-02-28,Project Coordinator,CC-140-OPS,0.29,2026-03-26 14:51:00
246,98,2018-03-14,2019-09-14,Senior Manager,CC-130-PMO,0.73,2019-09-24 08:37:00
247,98,2019-09-02,2020-10-17,Director,CC-130-PMO,0.82,2020-11-15 14:39:00
248,98,2020-10-04,2022-02-09,Director,CC-150-SALES,0.8,2022-03-03 05:15:00
249,98,2022-02-10,,Director,CC-150-SALES,0.55,2022-02-25 16:49:00
250,99,2023-10-14,2025-03-21,Analyst,CC-160-MKT,0.68,2025-03-23 05:37:00
251,99,2025-05-12,2026-02-28,Lead Engineer,CC-160-MKT,0.43,2026-03-13 01:46:00
252,100,2020-06-16,2021-09-21,Director,CC-150-SALES,0.25,2021-10-16 20:33:00
253,101,2017-06-10,2019-03-24,Lead Engineer,CC-120-ENG,0.31,2019-04-18 03:39:00
254,101,2019-03-25,2020-08-22,Analyst,CC-130-PMO,0.43,2020-09-20 18:58:00
255,102,2023-04-02,2023-10-31,Senior Engineer,CC-110-HR,0.43,2023-11-16 07:20:00
256,102,2023-04-02,2023-10-31,Director,CC-110-HR,0.21,2023-11-16 15:20:00
257,102,2023-11-01,2025-07-14,Manager,CC-100-FIN,0.34,2025-07-18 04:37:00
258,102,2025-07-15,2026-02-28,Senior Manager,CC-140-OPS,0.3,2026-03-11 03:32:00
259,103,2018-07-08,2019-01-18,Director,CC-140-OPS,0.45,2019-01-28 13:16:00
260,103,2019-01-19,2020-07-08,Senior Manager,CC-120-ENG,0.42,2020-07-28 02:52:00
261,103,2020-07-09,2021-11-25,Senior Engineer,CC-100-FIN,0.73,2021-12-20 09:05:00
262,104,2020-08-21,2021-04-10,Lead Engineer,CC-100-FIN,0.99,2021-04-18 06:44:00
263,104,2021-03-14,2023-01-11,Lead Engineer,CC-100-FIN,0.24,2023-01-28 12:34:00
264,104,2023-01-12,2024-09-29,Senior Manager,CC-150-SALES,1.0,2024-09-30 12:54:00
265,104,2024-09-30,,Engineer,CC-100-FIN,0.51,2024-10-25 09:13:00
266,105,2016-10-06,2017-05-04,Senior Engineer,CC-140-OPS,0.3,2017-05-20 10:17:00
267,105,2017-05-05,2018-02-19,Senior Engineer,CC-130-PMO,0.73,2018-03-05 04:56:00
268,105,2018-02-20,2019-06-25,Manager,CC-160-MKT,0.72,2019-07-05 09:08:00
269,106,2024-07-19,2025-02-10,Manager,CC-120-ENG,0.56,2025-02-23 09:06:00
270,106,2025-03-21,2026-02-28,Senior Analyst,CC-150-SALES,0.29,2026-03-22 18:08:00
271,106,2026-01-16,2026-02-28,Manager,CC-160-MKT,0.86,2026-03-04 08:47:00
272,107,2015-10-06,2017-02-02,Senior Engineer,CC-120-ENG,0.95,2017-02-20 00:16:00
273,107,2015-10-06,2017-02-02,Senior Manager,CC-120-ENG,0.6,2017-02-20 06:16:00
274,107,2017-02-03,2017-08-03,Senior Manager,CC-150-SALES,0.67,2017-09-02 04:10:00
275,107,2017-08-04,,Engineer,CC-160-MKT,0.78,2017-08-18 19:59:00
276,108,2019-07-12,2019-12-22,Senior Engineer,CC-130-PMO,0.56,2020-01-06 06:55:00
277,108,2019-12-23,2021-08-03,Project Manager,CC-100-FIN,0.77,2021-08-07 16:11:00
278,109,2021-06-29,2021-12-18,Project Coordinator,CC-150-SALES,1.0,2022-01-17 07:43:00
279,109,2022-02-14,2022-12-01,Lead Engineer,CC-160-MKT,0.25,2022-12-16 05:50:00
280,109,2022-11-05,,Manager,CC-140-OPS,0.42,2022-11-21 20:41:00
281,110,2015-12-02,2017-02-22,Director,CC-110-HR,0.87,2017-03-21 11:40:00
282,110,2017-05-21,2017-11-15,Senior Engineer,CC-150-SALES,0.67,2017-11-21 02:16:00
283,110,2017-10-01,,Project Manager,CC-140-OPS,0.86,2017-10-28 18:29:00
